bash: module: line 1: syntax error: unexpected end of file
bash: error importing function definition for `module'
000001
12
hdfs://babar.local:54310/user/hl1283/rgfout
login-3-33.local
Starting training
perl ./call_exe.pl ./rgf train_test ./long login-3-33.local 1245 12 000001
connecting to login-3-33.local:22222
@VIS: 100.894 63-0 63-1
@VIS: 100.894 63-0 63-2
@VIS: 101.45 root 64-0
@VIS: 101.45 64-0 64-1
@VIS: 101.45 64-0 64-2
@VIS: 102.225 64-1 64-3
@VIS: 102.225 64-1 64-4
@VIS: 102.721 root 65-0
@VIS: 102.721 65-0 65-1
@VIS: 102.721 65-0 65-2
@VIS: 103.277 65-1 65-3
@VIS: 103.277 65-1 65-4
@VIS: 103.971 65-3 65-5
@VIS: 103.971 65-3 65-6
@VIS: 104.915 65-5 65-7
@VIS: 104.915 65-5 65-8
@VIS: 105.343 65-7 65-9
@VIS: 105.343 65-7 65-10
@VIS: 106.215 root 66-0
@VIS: 106.215 66-0 66-1
@VIS: 106.215 66-0 66-2
@VIS: 106.983 66-2 66-3
@VIS: 106.983 66-2 66-4
@VIS: 107.687 66-3 66-5
@VIS: 107.687 66-3 66-6
@VIS: 108.43 root 67-0
@VIS: 108.43 67-0 67-1
@VIS: 108.43 67-0 67-2
@VIS: 108.985 root 68-0
@VIS: 108.985 68-0 68-1
@VIS: 108.985 68-0 68-2
@VIS: 109.52 68-1 68-3
@VIS: 109.52 68-1 68-4
@VIS: 110.295 root 69-0
@VIS: 110.295 69-0 69-1
@VIS: 110.295 69-0 69-2
@VIS: 110.874 69-2 69-3
@VIS: 110.874 69-2 69-4
@VIS: 111.34 root 70-0
@VIS: 111.34 70-0 70-1
@VIS: 111.34 70-0 70-2
@VIS: 111.898 70-1 70-3
@VIS: 111.898 70-1 70-4
@VIS: 112.411 70-3 70-5
@VIS: 112.411 70-3 70-6
@VIS: 113.057 70-5 70-7
@VIS: 113.057 70-5 70-8
@VIS: 113.525 root 71-0
@VIS: 113.525 71-0 71-1
@VIS: 113.525 71-0 71-2
@VIS: 114.037 71-1 71-3
@VIS: 114.037 71-1 71-4
@VIS: 114.723 71-3 71-5
@VIS: 114.723 71-3 71-6
@VIS: 115.251 71-5 71-7
@VIS: 115.251 71-5 71-8
@VIS: 115.953 71-7 71-9
@VIS: 115.953 71-7 71-10
@VIS: 117.001 71-9 71-11
@VIS: 117.001 71-9 71-12
@VIS: 117.629 71-8 71-13
@VIS: 117.629 71-8 71-14
@VIS: 118.085 root 72-0
@VIS: 118.085 72-0 72-1
@VIS: 118.085 72-0 72-2
@VIS: 118.878 72-2 72-3
@VIS: 118.878 72-2 72-4
@VIS: 119.291 72-1 72-5
@VIS: 119.291 72-1 72-6
@VIS: 119.801 72-5 72-7
@VIS: 119.801 72-5 72-8
@VIS: 120.508 72-7 72-9
@VIS: 120.508 72-7 72-10
@VIS: 121.001 72-8 72-11
@VIS: 121.001 72-8 72-12
@VIS: 121.426 72-12 72-13
@VIS: 121.426 72-12 72-14
@VIS: 121.83 root 73-0
@VIS: 121.83 73-0 73-1
@VIS: 121.83 73-0 73-2
@VIS: 122.591 73-1 73-3
@VIS: 122.591 73-1 73-4
@VIS: 123.098 73-3 73-5
@VIS: 123.098 73-3 73-6
@VIS: 123.565 73-5 73-7
@VIS: 123.565 73-5 73-8
@VIS: 124.045 root 74-0
@VIS: 124.045 74-0 74-1
@VIS: 124.045 74-0 74-2
@VIS: 124.616 74-1 74-3
@VIS: 124.616 74-1 74-4
@VIS: 125.106 74-3 74-5
@VIS: 125.106 74-3 74-6
@VIS: 125.57 74-5 74-7
@VIS: 125.57 74-5 74-8
@VIS: 126.321 74-7 74-9
@VIS: 126.321 74-7 74-10
@VIS: 126.973 root 75-0
@VIS: 126.973 75-0 75-1
@VIS: 126.973 75-0 75-2
@VIS: 127.519 75-1 75-3
@VIS: 127.519 75-1 75-4
@VIS: 128.024 75-3 75-5
@VIS: 128.024 75-3 75-6
@VIS: 128.514 root 76-0
@VIS: 128.514 76-0 76-1
@VIS: 128.514 76-0 76-2
@VIS: 129.062 root 77-0
@VIS: 129.062 77-0 77-1
@VIS: 129.062 77-0 77-2
@VIS: 129.821 77-1 77-3
@VIS: 129.821 77-1 77-4
@VIS: 130.295 77-3 77-5
@VIS: 130.295 77-3 77-6
@VIS: 130.973 77-5 77-7
@VIS: 130.973 77-5 77-8
@VIS: 131.64 77-7 77-9
@VIS: 131.64 77-7 77-10
@VIS: 132.119 77-9 77-11
@VIS: 132.119 77-9 77-12
@VIS: 132.803 77-11 77-13
@VIS: 132.803 77-11 77-14
@VIS: 133.253 77-13 77-15
@VIS: 133.253 77-13 77-16
@VIS: 133.706 77-16 77-17
@VIS: 133.706 77-16 77-18
@VIS: 134.383 77-17 77-19
@VIS: 134.383 77-17 77-20
@VIS: 134.819 77-19 77-21
@VIS: 134.819 77-19 77-22
@VIS: 135.261 root 78-0
@VIS: 135.261 78-0 78-1
@VIS: 135.261 78-0 78-2
@VIS: 135.979 78-1 78-3
@VIS: 135.979 78-1 78-4
@VIS: 136.713 78-3 78-5
@VIS: 136.713 78-3 78-6
@VIS: 137.21 78-5 78-7
@VIS: 137.21 78-5 78-8
@VIS: 137.737 78-7 78-9
@VIS: 137.737 78-7 78-10
@VIS: 138.268 78-9 78-11
@VIS: 138.268 78-9 78-12
@VIS: 138.956 78-10 78-13
@VIS: 138.956 78-10 78-14
@VIS: 139.425 78-13 78-15
@VIS: 139.425 78-13 78-16
@VIS: 140.077 78-11 78-17
@VIS: 140.077 78-11 78-18
@VIS: 140.748 78-17 78-19
@VIS: 140.748 78-17 78-20
@VIS: 141.163 root 79-0
@VIS: 141.163 79-0 79-1
@VIS: 141.163 79-0 79-2
@VIS: 141.729 79-1 79-3
@VIS: 141.729 79-1 79-4
@VIS: 142.236 79-3 79-5
@VIS: 142.236 79-3 79-6
@VIS: 142.916 79-5 79-7
@VIS: 142.916 79-5 79-8
@VIS: 143.352 79-7 79-9
@VIS: 143.352 79-7 79-10
@VIS: 144.178 79-9 79-11
@VIS: 144.178 79-9 79-12
@VIS: 144.861 79-11 79-13
@VIS: 144.861 79-11 79-14
@VIS: 145.528 79-13 79-15
